PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Pittsburgh Steelers,PIT,-,DST,5000.0,
Philadelphia Eagles,PHI,-,DST,4600.0,
Tampa Bay Buccaneers,TB,-,DST,4200.0,
Washington Football Team,WAS,-,DST,3800.0,
New Orleans Saints,NO,-,DST,4500.0,
Green Bay Packers,GB,-,DST,4800.0,
Los Angeles Chargers,LAC,-,DST,4100.0,
Miami Dolphins,MIA,-,DST,4700.0,
New York Giants,NYG,-,DST,3900.0,
Denver Broncos,DEN,-,DST,4300.0,
Las Vegas Raiders,LV,-,DST,3500.0,
Seattle Seahawks,SEA,-,DST,3700.0,
Cleveland Browns,CLE,-,DST,4400.0,
Los Angeles Rams,LAR,-,DST,4000.0,
Houston Texans,HOU,-,DST,3500.0,
Arizona Cardinals,ARI,-,DST,3600.0,
Detroit Lions,DET,-,DST,3900.0,
Buffalo Bills,BUF,-,DST,4100.0,
San Francisco 49ers,SF,-,DST,3700.0,
Cincinnati Bengals,CIN,-,DST,3400.0,
Carolina Panthers,CAR,-,DST,3000.0,
Jacksonville Jaguars,JAC,-,DST,3100.0,
