PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Aaron Jones,GB,18.9,RB,8800.0,
Alvin Kamara,NO,18.8,RB,9000.0,
James Robinson,JAC,15.9,RB,7300.0,
Josh Jacobs,LV,15.0,RB,7500.0,
James Conner,PIT,14.6,RB,7600.0,
Miles Sanders,PHI,13.1,RB,7700.0,
Chase Edmonds,ARI,12.8,RB,7100.0,
Mike Davis,CAR,12.5,RB,5400.0,
Kareem Hunt,CLE,11.8,RB,7500.0,
Antonio Gibson,WAS,11.8,RB,6100.0,
D'Andre Swift,DET,11.4,RB,6000.0,
Leonard Fournette,TB,11.2,RB,6400.0,
Melvin Gordon III,DEN,10.7,RB,6600.0,
Jerick McKinnon,SF,10.2,RB,5500.0,
Zack Moss,BUF,9.5,RB,5800.0,
Duke Johnson Jr.,HOU,9.0,RB,5800.0,
Ronald Jones II,TB,8.9,RB,6400.0,
J.D. McKissic,WAS,8.6,RB,5300.0,
Phillip Lindsay,DEN,8.5,RB,5900.0,
Devin Singletary,BUF,8.4,RB,5600.0,
Wayne Gallman,NYG,8.4,RB,5700.0,
Giovani Bernard,CIN,8.1,RB,6200.0,
Jamaal Williams,GB,7.7,RB,5600.0,
Joshua Kelley,LAC,7.5,RB,5200.0,
Kalen Ballage,LAC,7.5,RB,5300.0,
Malcolm Brown,LAR,6.9,RB,5500.0,
Latavius Murray,NO,6.8,RB,5000.0,
DeeJay Dallas,SEA,6.7,RB,5600.0,
Adrian Peterson,DET,6.7,RB,5200.0,
JaMycal Hasty,SF,6.6,RB,5100.0,
Jordan Howard,MIA,6.4,RB,5200.0,
Salvon Ahmed,MIA,6.3,RB,4900.0,
Troymaine Pope,LAC,6.1,RB,4500.0,
Chris Thompson,JAC,6.0,RB,4800.0,
Boston Scott,PHI,5.0,RB,5900.0,
Kerryon Johnson,DET,5.0,RB,5000.0,
Devontae Booker,LV,4.9,RB,5200.0,
Cam Akers,LAR,4.6,RB,5100.0,
Benny Snell Jr.,PIT,4.3,RB,4900.0,
Jalen Richard,LV,4.1,RB,4500.0,
Tyler Ervin,GB,4.0,RB,4900.0,
Dion Lewis,NYG,4.0,RB,4600.0,
Patrick Laird,MIA,3.4,RB,4700.0,
Alfred Morris,NYG,3.0,RB,4500.0,
Kyle Juszczyk,SF,2.9,RB,4500.0,
Peyton Barber,WAS,2.9,RB,4500.0,
DeAndre Washington,MIA,2.8,RB,4500.0,
Trenton Cannon,CAR,2.5,RB,4700.0,
Samaje Perine,CIN,2.4,RB,4700.0,
LeSean McCoy,TB,2.3,RB,4600.0,
Corey Clement,PHI,2.2,RB,5000.0,
D.J. Foster,ARI,1.9,RB,4500.0,
Buddy Howell,HOU,1.8,RB,4500.0,
Royce Freeman,DEN,1.7,RB,4800.0,
Alex Armah,CAR,1.6,RB,4500.0,
D'Ernest Johnson,CLE,1.5,RB,4800.0,
Eno Benjamin,ARI,1.4,RB,4500.0,
Dare Ogunbowale,JAC,1.3,RB,4500.0,
Ke'Shawn Vaughn,TB,1.2,RB,4700.0,
Elijhaa Penny,NYG,1.2,RB,4500.0,
Michael Burton,NO,1.1,RB,4500.0,
Andy Janovich,CLE,1.1,RB,4500.0,
Cullen Gillaspia,HOU,1.0,RB,4500.0,
Dontrell Hilliard,CLE,0.9,RB,4600.0,
Trayveon Williams,CIN,0.2,RB,4600.0,
Ty Montgomery,NO,-,RB,4600.0,
Scottie Phillips,HOU,-,RB,4500.0,
Jonathan Ward,ARI,-,RB,4500.0,
Jason Huntley,PHI,-,RB,4500.0,
Chandler Cox,MIA,-,RB,4500.0,
