PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Alvin Kamara,NO,18.7,RB,9000.0,
Aaron Jones,GB,18.6,RB,8800.0,
James Robinson,JAC,15.8,RB,7300.0,
James Conner,PIT,14.8,RB,7600.0,
Josh Jacobs,LV,14.7,RB,7500.0,
Miles Sanders,PHI,14.2,RB,7700.0,
Nick Chubb,CLE,14.2,RB,8200.0,IR
Mike Davis,CAR,13.9,RB,5400.0,
D'Andre Swift,DET,12.9,RB,6000.0,
Chase Edmonds,ARI,12.7,RB,7100.0,
Antonio Gibson,WAS,12.1,RB,6100.0,
Duke Johnson Jr.,HOU,12.1,RB,5800.0,
Jerick McKinnon,SF,11.0,RB,5500.0,
Kareem Hunt,CLE,11.0,RB,7500.0,
Leonard Fournette,TB,10.8,RB,6400.0,
Darrell Henderson,LAR,10.7,RB,5800.0,Q
Melvin Gordon III,DEN,10.7,RB,6600.0,
Ronald Jones II,TB,10.0,RB,6400.0,
Giovani Bernard,CIN,9.6,RB,6200.0,
Chris Carson,SEA,9.2,RB,7800.0,Q
Zack Moss,BUF,9.2,RB,5800.0,
Joe Mixon,CIN,8.7,RB,7000.0,Q
J.D. McKissic,WAS,8.7,RB,5300.0,
Kenyan Drake,ARI,8.3,RB,6000.0,Q
Wayne Gallman,NYG,8.2,RB,5700.0,
Devin Singletary,BUF,7.7,RB,5600.0,
Jamaal Williams,GB,7.7,RB,5600.0,
Joshua Kelley,LAC,7.3,RB,5200.0,
Latavius Murray,NO,7.2,RB,5000.0,
Phillip Lindsay,DEN,7.1,RB,5900.0,
Matt Breida,MIA,7.0,RB,4600.0,Q
Malcolm Brown,LAR,6.9,RB,5500.0,
Kalen Ballage,LAC,6.8,RB,5300.0,
JaMycal Hasty,SF,6.8,RB,5100.0,
Adrian Peterson,DET,6.1,RB,5200.0,
DeeJay Dallas,SEA,5.6,RB,5600.0,
Devonta Freeman,NYG,5.5,RB,5400.0,Q
Jordan Howard,MIA,5.3,RB,5200.0,
David Johnson,HOU,4.9,RB,6300.0,Q
Justin Jackson,LAC,4.9,RB,5500.0,Q
Devontae Booker,LV,4.9,RB,5200.0,
Travis Homer,SEA,4.7,RB,5300.0,Q
Cam Akers,LAR,4.4,RB,5100.0,
Troymaine Pope,LAC,4.4,RB,4500.0,
Chris Thompson,JAC,4.2,RB,4800.0,
Boston Scott,PHI,4.0,RB,5900.0,
Kerryon Johnson,DET,3.8,RB,5000.0,
C.J. Prosise,HOU,3.6,RB,4500.0,
DeAndre Washington,MIA,3.6,RB,4500.0,
Salvon Ahmed,MIA,3.5,RB,4900.0,
Jalen Richard,LV,3.5,RB,4500.0,
Benny Snell Jr.,PIT,3.4,RB,4900.0,
Devine Ozigbo,JAC,3.3,RB,4700.0,Q
Patrick Laird,MIA,3.3,RB,4700.0,
Anthony McFarland Jr.,PIT,3.2,RB,4500.0,Q
Dion Lewis,NYG,3.2,RB,4600.0,
Samaje Perine,CIN,2.9,RB,4700.0,
Kyle Juszczyk,SF,2.9,RB,4500.0,
Peyton Barber,WAS,2.9,RB,4500.0,
Tevin Coleman,SF,2.9,RB,5000.0,D
Carlos Hyde,SEA,2.9,RB,5500.0,Q
Alfred Morris,NYG,2.7,RB,4500.0,
Trenton Cannon,CAR,2.7,RB,4700.0,
Tyler Ervin,GB,2.5,RB,4900.0,
Jaylen Samuels,PIT,2.3,RB,4500.0,IR
Royce Freeman,DEN,2.2,RB,4800.0,
Reggie Bonnafon,CAR,2.2,RB,4600.0,Q
Corey Clement,PHI,2.0,RB,5000.0,
LeSean McCoy,TB,2.0,RB,4600.0,
Eno Benjamin,ARI,1.9,RB,4500.0,
D.J. Foster,ARI,1.8,RB,4500.0,
D'Ernest Johnson,CLE,1.8,RB,4800.0,
Malcolm Perry,MIA,1.8,RB,4500.0,
Alec Ingold,LV,1.8,RB,4500.0,Q
Ke'Shawn Vaughn,TB,1.8,RB,4700.0,
AJ Dillon,GB,1.7,RB,4900.0,IR
Rashaad Penny,SEA,1.6,RB,4500.0,
Dontrell Hilliard,CLE,1.5,RB,4600.0,
Buddy Howell,HOU,1.4,RB,4500.0,
T.J. Yeldon,BUF,1.4,RB,4500.0,
Dare Ogunbowale,JAC,1.3,RB,4500.0,
Jason Huntley,PHI,1.2,RB,4500.0,
Cullen Gillaspia,HOU,1.2,RB,4500.0,
Alex Armah,CAR,1.2,RB,4500.0,
Elijhaa Penny,NYG,1.2,RB,4500.0,
Jonathan Williams,DET,1.1,RB,4500.0,
Andy Janovich,CLE,1.0,RB,4500.0,
Trey Edmunds,PIT,1.0,RB,4500.0,
Michael Burton,NO,1.0,RB,4500.0,
Chandler Cox,MIA,0.8,RB,4500.0,
Dwayne Washington,NO,0.8,RB,4500.0,Q
Trayveon Williams,CIN,0.8,RB,4600.0,
Xavier Jones,LAR,0.8,RB,4500.0,
Gabe Nabers,LAC,0.7,RB,4700.0,
Derek Watt,PIT,0.6,RB,4500.0,
Taiwan Jones,BUF,0.6,RB,4500.0,Q
Nick Bellore,SEA,0.3,RB,4500.0,
Ty Montgomery,NO,0.0,RB,4600.0,
Scottie Phillips,HOU,0.0,RB,4500.0,
