PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Darren Waller,LV,-,TE,7000.0,
T.J. Hockenson,DET,-,TE,6200.0,
Dallas Goedert,PHI,-,TE,5800.0,
Hunter Henry,LAC,-,TE,5500.0,
Noah Fant,DEN,-,TE,5700.0,Q
Evan Engram,NYG,-,TE,5600.0,
Rob Gronkowski,TB,-,TE,6100.0,
Jared Cook,NO,-,TE,6000.0,
Robert Tonyan,GB,-,TE,5700.0,
Austin Hooper,CLE,-,TE,5100.0,Q
Eric Ebron,PIT,-,TE,5400.0,
Jordan Reed,SF,-,TE,5000.0,
Mike Gesicki,MIA,-,TE,5300.0,
Gerald Everett,LAR,-,TE,4500.0,
Logan Thomas,WAS,-,TE,4900.0,
Darren Fells,HOU,-,TE,5000.0,
Tyler Higbee,LAR,-,TE,5200.0,
Jordan Akins,HOU,-,TE,4900.0,
Ross Dwelley,SF,-,TE,5000.0,
Tyler Eifert,JAC,-,TE,4600.0,
Greg Olsen,SEA,-,TE,4600.0,
Harrison Bryant,CLE,-,TE,4800.0,
Jacob Hollister,SEA,-,TE,4700.0,
David Njoku,CLE,-,TE,4800.0,
James O'Shaughnessy,JAC,-,TE,4100.0,
Drew Sample,CIN,-,TE,4400.0,
Ian Thomas,CAR,-,TE,4400.0,
Will Dissly,SEA,-,TE,4500.0,
Dawson Knox,BUF,-,TE,4500.0,
Tyler Kroft,BUF,-,TE,4700.0,
Jason Witten,LV,-,TE,4300.0,
Adam Shaheen,MIA,-,TE,4200.0,
Dan Arnold,ARI,-,TE,4300.0,
Cameron Brate,TB,-,TE,4600.0,
Jace Sternberger,GB,-,TE,4400.0,
Adam Trautman,NO,-,TE,4200.0,
Richard Rodgers,PHI,-,TE,4900.0,
Kaden Smith,NYG,-,TE,4100.0,Q
Maxx Williams,ARI,-,TE,4000.0,
Jesse James,DET,-,TE,4300.0,
Darrell Daniels,ARI,-,TE,4500.0,
Foster Moreau,LV,-,TE,4100.0,
Josh Hill,NO,-,TE,4200.0,
Marcedes Lewis,GB,-,TE,4300.0,
Nick Vannett,DEN,-,TE,4400.0,
Chris Manhertz,CAR,-,TE,4000.0,
Donald Parham Jr.,LAC,-,TE,4400.0,
Durham Smythe,MIA,-,TE,4300.0,Q
Vance McDonald,PIT,-,TE,4200.0,IR
Johnny Mundt,LAR,-,TE,4000.0,
Levine Toilolo,NYG,-,TE,4000.0,
Cethan Carter,CIN,-,TE,4000.0,
Tanner Hudson,TB,-,TE,4000.0,
Pharaoh Brown,HOU,-,TE,4100.0,
Jeremy Sprinkle,WAS,-,TE,4000.0,
Temarrick Hemingway,WAS,-,TE,4000.0,
Jake Butt,DEN,-,TE,4100.0,IR
Charlie Woerner,SF,-,TE,4000.0,
Isaac Nauta,DET,-,TE,4000.0,
Tyler Davis,JAC,-,TE,4000.0,
Mason Schreck,CIN,-,TE,4000.0,
Luke Willson,FA,-,TE,4000.0,
Derek Carrier,LV,-,TE,4000.0,
