PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Davante Adams,GB,20.3,WR,9500.0,
DeAndre Hopkins,ARI,15.9,WR,8600.0,
D.K. Metcalf,SEA,15.3,WR,8300.0,
Keenan Allen,LAC,14.9,WR,7800.0,
Stefon Diggs,BUF,14.0,WR,7900.0,
Tyler Lockett,SEA,13.8,WR,7400.0,
Terry McLaurin,WAS,13.8,WR,7000.0,
Michael Thomas,NO,13.3,WR,8500.0,
Will Fuller V,HOU,13.3,WR,7100.0,
Robert Woods,LAR,12.7,WR,7200.0,
Cooper Kupp,LAR,12.5,WR,7700.0,
Robby Anderson,CAR,12.4,WR,6400.0,
Chase Claypool,PIT,12.4,WR,6100.0,
Brandin Cooks,HOU,11.9,WR,6300.0,
Chris Godwin,TB,11.8,WR,7500.0,
D.J. Chark Jr.,JAC,11.6,WR,6600.0,
Mike Evans,TB,11.5,WR,7300.0,
Diontae Johnson,PIT,11.3,WR,5700.0,
Jerry Jeudy,DEN,11.2,WR,5800.0,
Tyler Boyd,CIN,11.0,WR,6700.0,
DeVante Parker,MIA,10.8,WR,6000.0,
JuJu Smith-Schuster,PIT,10.7,WR,6400.0,
Darius Slayton,NYG,10.5,WR,5900.0,
D.J. Moore,CAR,10.5,WR,6900.0,
Travis Fulgham,PHI,10.4,WR,6800.0,
Mike Williams,LAC,10.4,WR,5900.0,
Tee Higgins,CIN,10.3,WR,6100.0,
Marvin Jones Jr.,DET,10.2,WR,6200.0,
Christian Kirk,ARI,10.2,WR,6300.0,
Jarvis Landry,CLE,10.2,WR,6000.0,
Sterling Shepard,NYG,10.2,WR,5500.0,
Antonio Brown,TB,10.0,WR,6500.0,
Brandon Aiyuk,SF,10.0,WR,6500.0,
John Brown,BUF,9.5,WR,5600.0,
Deebo Samuel,SF,9.5,WR,6000.0,Q
Cole Beasley,BUF,9.3,WR,5400.0,
Tim Patrick,DEN,9.3,WR,5500.0,
Curtis Samuel,CAR,9.1,WR,5700.0,
A.J. Green,CIN,8.6,WR,5600.0,
Emmanuel Sanders,NO,8.5,WR,5800.0,
Randall Cobb,HOU,8.5,WR,5100.0,
Rashard Higgins,CLE,8.4,WR,5500.0,
Jalen Reagor,PHI,8.4,WR,5600.0,
Henry Ruggs III,LV,8.0,WR,5600.0,
Keelan Cole Sr.,JAC,7.7,WR,5100.0,
KJ Hamler,DEN,7.6,WR,5200.0,
Nelson Agholor,LV,7.5,WR,5100.0,
Hunter Renfrow,LV,7.4,WR,4900.0,
Danny Amendola,DET,7.2,WR,5200.0,
Alshon Jeffery,PHI,7.2,WR,4800.0,Q
Allen Lazard,GB,7.2,WR,5700.0,IR
Marquez Valdes-Scantling,GB,7.0,WR,5500.0,
Josh Reynolds,LAR,6.8,WR,5000.0,
Laviska Shenault Jr.,JAC,6.5,WR,5200.0,Q
Larry Fitzgerald,ARI,6.4,WR,5000.0,
Tre'Quan Smith,NO,6.4,WR,5000.0,
Preston Williams,MIA,6.2,WR,5200.0,Q
Richie James Jr.,SF,5.5,WR,5400.0,
Golden Tate,NYG,5.5,WR,5300.0,
David Moore,SEA,5.4,WR,5300.0,
Scotty Miller,TB,5.4,WR,5500.0,
James Washington,PIT,5.4,WR,5100.0,
Andy Isabella,ARI,5.4,WR,4800.0,
Jakeem Grant,MIA,5.3,WR,4600.0,
Gabriel Davis,BUF,5.2,WR,5000.0,
Marvin Hall,DET,5.1,WR,4600.0,
Jalen Guyton,LAC,5.1,WR,4900.0,
Steven Sims,WAS,5.1,WR,4600.0,
Trent Taylor,SF,5.0,WR,4800.0,
Cam Sims,WAS,5.0,WR,4900.0,
Greg Ward,PHI,4.9,WR,5100.0,
Chris Conley,JAC,4.9,WR,4800.0,
Kenny Golladay,DET,4.7,WR,7000.0,Q
Quintez Cephus,DET,4.3,WR,4600.0,
Austin Mack,NYG,4.2,WR,4900.0,
Bryan Edwards,LV,4.1,WR,4600.0,
Isaiah Wright,WAS,3.8,WR,4500.0,
Kenny Stills,HOU,3.7,WR,4600.0,
Equanimeous St. Brown,GB,3.6,WR,4500.0,
Kendrick Bourne,SF,3.6,WR,5400.0,IR
Mack Hollins,MIA,3.5,WR,4800.0,
DaeSean Hamilton,DEN,3.5,WR,4700.0,
Deonte Harris,NO,3.4,WR,4900.0,
Marquez Callaway,NO,3.1,WR,4700.0,
KhaDarel Hodge,CLE,3.1,WR,4500.0,
Collin Johnson,JAC,2.6,WR,4600.0,
Auden Tate,CIN,1.6,WR,4600.0,
River Cracraft,SF,1.6,WR,4500.0,
Freddie Swain,SEA,1.5,WR,4700.0,
Isaiah McKenzie,BUF,1.4,WR,4700.0,
Darrius Shepherd,GB,1.3,WR,4600.0,
Tyler Johnson,TB,-,WR,5000.0,
John Hightower,PHI,-,WR,4900.0,
Donovan Peoples-Jones,CLE,-,WR,5200.0,
Taywan Taylor,CLE,-,WR,4500.0,
Van Jefferson,LAR,-,WR,4600.0,
