PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Davante Adams,GB,19.1,WR,9500.0,
Stefon Diggs,BUF,14.8,WR,7900.0,
DeAndre Hopkins,ARI,14.7,WR,8600.0,
Keenan Allen,LAC,14.3,WR,7800.0,
D.K. Metcalf,SEA,14.0,WR,8300.0,
Tyler Lockett,SEA,13.9,WR,7400.0,
Michael Thomas,NO,13.9,WR,8500.0,
Terry McLaurin,WAS,13.5,WR,7000.0,
Robert Woods,LAR,12.8,WR,7200.0,
Will Fuller V,HOU,12.6,WR,7100.0,
Cooper Kupp,LAR,12.4,WR,7700.0,
Robby Anderson,CAR,12.2,WR,6400.0,
Brandin Cooks,HOU,11.6,WR,6300.0,
Antonio Brown,TB,11.5,WR,6500.0,
Chris Godwin,TB,11.4,WR,7500.0,
D.J. Moore,CAR,11.3,WR,6900.0,
Chase Claypool,PIT,11.3,WR,6100.0,
Tyler Boyd,CIN,11.3,WR,6700.0,
JuJu Smith-Schuster,PIT,11.1,WR,6400.0,
DeVante Parker,MIA,10.9,WR,6000.0,
Jerry Jeudy,DEN,10.9,WR,5800.0,
Travis Fulgham,PHI,10.8,WR,6800.0,
Tee Higgins,CIN,10.7,WR,6100.0,
Diontae Johnson,PIT,10.6,WR,5700.0,
Jarvis Landry,CLE,10.4,WR,6000.0,
D.J. Chark Jr.,JAC,10.4,WR,6600.0,
Mike Williams,LAC,10.1,WR,5900.0,
Mike Evans,TB,10.1,WR,7300.0,
Christian Kirk,ARI,10.0,WR,6300.0,
Darius Slayton,NYG,9.9,WR,5900.0,
Sterling Shepard,NYG,9.8,WR,5500.0,
Curtis Samuel,CAR,9.8,WR,5700.0,
Brandon Aiyuk,SF,9.8,WR,6500.0,
Cole Beasley,BUF,9.6,WR,5400.0,
Tim Patrick,DEN,9.4,WR,5500.0,
John Brown,BUF,9.3,WR,5600.0,
Marvin Jones Jr.,DET,8.9,WR,6200.0,
Emmanuel Sanders,NO,8.9,WR,5800.0,
A.J. Green,CIN,8.3,WR,5600.0,
Henry Ruggs III,LV,8.2,WR,5600.0,
Randall Cobb,HOU,8.1,WR,5100.0,
Hunter Renfrow,LV,7.9,WR,4900.0,
Nelson Agholor,LV,7.7,WR,5100.0,
Keelan Cole Sr.,JAC,7.7,WR,5100.0,
Jalen Reagor,PHI,7.6,WR,5600.0,
Danny Amendola,DET,7.5,WR,5200.0,
Rashard Higgins,CLE,7.1,WR,5500.0,
Josh Reynolds,LAR,6.7,WR,5000.0,
KJ Hamler,DEN,6.6,WR,5200.0,
Richie James Jr.,SF,6.4,WR,5400.0,
Larry Fitzgerald,ARI,6.4,WR,5000.0,
Marquez Valdes-Scantling,GB,6.1,WR,5500.0,
Jakeem Grant,MIA,6.0,WR,4600.0,
Tre'Quan Smith,NO,5.8,WR,5000.0,
Steven Sims,WAS,5.8,WR,4600.0,
David Moore,SEA,5.7,WR,5300.0,
Golden Tate,NYG,5.6,WR,5300.0,
Greg Ward,PHI,5.2,WR,5100.0,
Chris Conley,JAC,4.9,WR,4800.0,
James Washington,PIT,4.8,WR,5100.0,
Gabriel Davis,BUF,4.8,WR,5000.0,
Cam Sims,WAS,4.6,WR,4900.0,
Jalen Guyton,LAC,4.5,WR,4900.0,
Scotty Miller,TB,4.5,WR,5500.0,
Andy Isabella,ARI,4.0,WR,4800.0,
Trent Taylor,SF,3.7,WR,4800.0,
River Cracraft,SF,3.7,WR,4500.0,
Marvin Hall,DET,3.7,WR,4600.0,
Bryan Edwards,LV,3.6,WR,4600.0,
Austin Mack,NYG,3.5,WR,4900.0,
