PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Josh Allen,BUF,23.7,QB,8600.0,
Kyler Murray,ARI,23.7,QB,9100.0,
Justin Herbert,LAC,20.9,QB,8400.0,
Derek Carr,LV,18.5,QB,7100.0,
Cam Newton,NE,18.4,QB,7700.0,
Tom Brady,TB,18.1,QB,7900.0,
Daniel Jones,NYG,18.1,QB,7200.0,
Taysom Hill,NO,17.9,QB,7300.0,
Matt Ryan,ATL,17.8,QB,7600.0,
Teddy Bridgewater,CAR,17.6,QB,7000.0,
Jared Goff,LAR,16.9,QB,7000.0,
Ryan Tannehill,TEN,16.8,QB,7500.0,
Kirk Cousins,MIN,15.8,QB,7100.0,
Baker Mayfield,CLE,15.1,QB,6900.0,
Sam Darnold,NYJ,13.8,QB,6500.0,
Brandon Allen,CIN,13.3,QB,6000.0,
Mike Glennon,JAC,13.2,QB,6200.0,
Nick Mullens,SF,12.4,QB,6600.0,
Jameis Winston,NO,1.9,QB,7000.0,
Jake Luton,JAC,1.6,QB,6400.0,
Ryan Fitzpatrick,MIA,1.1,QB,7400.0,
Marcus Mariota,LV,1.0,QB,6000.0,
Matt Schaub,ATL,0.9,QB,6000.0,
Colt McCoy,NYG,0.9,QB,6000.0,
Brian Hoyer,NE,0.8,QB,6100.0,
Phillip Walker,CAR,0.8,QB,6500.0,
C.J. Beathard,SF,0.8,QB,6200.0,
Blaine Gabbert,TB,0.8,QB,6000.0,
Jarrett Stidham,NE,0.8,QB,6100.0,
Tyrod Taylor,LAC,0.8,QB,6200.0,
Chad Henne,KC,0.7,QB,6000.0,
Matt Barkley,BUF,0.7,QB,6100.0,
Case Keenum,CLE,0.7,QB,6200.0,
John Wolford,LAR,0.7,QB,6000.0,
Joe Flacco,NYJ,0.7,QB,6500.0,
Ryan Finley,CIN,0.7,QB,6300.0,
Brett Hundley,ARI,0.6,QB,6000.0,
Jacoby Brissett,IND,0.4,QB,6000.0,
Sean Mannion,MIN,0.4,QB,6000.0,
Logan Woodside,TEN,0.3,QB,6000.0,
Jacob Eason,IND,0.2,QB,6000.0,
Jake Fromm,BUF,0.1,QB,6000.0,
