PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Darren Waller,LV,13.2,TE,7000.0,
Hunter Henry,LAC,9.9,TE,6000.0,
T.J. Hockenson,DET,9.9,TE,6100.0,
Dallas Goedert,PHI,8.8,TE,6200.0,
Evan Engram,NYG,8.4,TE,6000.0,
Robert Tonyan,GB,8.2,TE,5900.0,
Hayden Hurst,ATL,7.4,TE,5600.0,
Austin Hooper,CLE,7.3,TE,5300.0,
Mike Gesicki,MIA,7.1,TE,5700.0,
Kyle Rudolph,MIN,6.8,TE,5000.0,
Jordan Akins,HOU,6.4,TE,5200.0,
Trey Burton,IND,6.2,TE,5500.0,
Anthony Firkser,TEN,6.1,TE,4600.0,
Zach Ertz,PHI,6.1,TE,5700.0,
Jimmy Graham,CHI,5.8,TE,5400.0,
Tyler Higbee,LAR,5.4,TE,5100.0,
Tyler Eifert,JAC,4.9,TE,4700.0,
Gerald Everett,LAR,4.6,TE,4800.0,
Jacob Hollister,SEA,4.5,TE,4900.0,
Jared Cook,NO,4.5,TE,5500.0,
Drew Sample,CIN,3.9,TE,4500.0,
Mo Alie-Cox,IND,3.9,TE,4800.0,
Harrison Bryant,CLE,3.9,TE,4500.0,
Darren Fells,HOU,3.7,TE,4800.0,
Chris Herndon IV,NYJ,3.3,TE,4500.0,
Will Dissly,SEA,3.3,TE,4500.0,
Dan Arnold,ARI,3.2,TE,4600.0,
Cole Kmet,CHI,2.9,TE,4400.0,
David Njoku,CLE,2.9,TE,4700.0,
Jack Doyle,IND,2.7,TE,4900.0,
James O'Shaughnessy,JAC,2.7,TE,4100.0,
Durham Smythe,MIA,2.5,TE,4300.0,
Kahale Warring,HOU,2.5,TE,4000.0,
MyCole Pruitt,TEN,2.5,TE,4000.0,
Geoff Swaim,TEN,2.5,TE,4000.0,
Richard Rodgers,PHI,2.4,TE,5200.0,
Adam Shaheen,MIA,2.3,TE,4500.0,
Pharaoh Brown,HOU,2.2,TE,4500.0,
Marcedes Lewis,GB,2.2,TE,4200.0,
Maxx Williams,ARI,2.2,TE,4200.0,
Jesse James,DET,2.2,TE,4300.0,
Foster Moreau,LV,2.1,TE,4100.0,
Kaden Smith,NYG,1.9,TE,4100.0,
Ryan Griffin,NYJ,1.9,TE,4100.0,
Jason Witten,LV,1.8,TE,4200.0,
Jace Sternberger,GB,1.8,TE,4300.0,
Adam Trautman,NO,1.8,TE,4300.0,
Brycen Hopkins,LAR,1.8,TE,4000.0,
Tyler Conklin,MIN,1.7,TE,4000.0,
Farrod Green,IND,1.7,TE,4000.0,
Donald Parham Jr.,LAC,1.7,TE,4300.0,
Josh Hill,NO,1.6,TE,4200.0,
Jason Croom,PHI,1.6,TE,4100.0,
Caleb Wilson,PHI,1.6,TE,4000.0,
Brandon Dillon,MIN,1.6,TE,4000.0,
Jordan Thomas,NE,1.5,TE,4200.0,
Demetrius Harris,CHI,1.4,TE,4200.0,
Stephen Carlson,CLE,1.3,TE,4000.0,
Seth DeValve,ARI,1.3,TE,4000.0,
Jaeden Graham,ATL,1.3,TE,4000.0,
Evan Baylis,ARI,1.1,TE,4000.0,
Isaac Nauta,DET,1.1,TE,4200.0,
Colby Parkinson,SEA,1.0,TE,4000.0,
Eric Saubert,JAC,1.0,TE,4000.0,
Luke Stocker,ATL,1.0,TE,4000.0,
Derek Carrier,LV,0.9,TE,4000.0,
Cethan Carter,CIN,0.9,TE,4000.0,
Levine Toilolo,NYG,0.9,TE,4000.0,
Hunter Bryant,DET,0.7,TE,4000.0,
Johnny Mundt,LAR,0.7,TE,4000.0,
J.P. Holtz,CHI,0.5,TE,4000.0,
Stephen Anderson,LAC,0.3,TE,4000.0,
Mason Schreck,CIN,0.3,TE,4000.0,
Daniel Brown,NYJ,0.3,TE,4000.0,
