"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Baltimore Ravens",BAL,"at NE","5 out of 5 stars","A+","8.7"
"2","Pittsburgh Steelers",PIT,"vs. CIN","3 out of 5 stars","A-","8.5"
"3","Green Bay Packers",GB,"vs. JAC","3 out of 5 stars","B+","8.1"
"4","Tampa Bay Buccaneers",TB,"at CAR","2 out of 5 stars","B+","7.9"
"5","New Orleans Saints",NO,"vs. SF","3 out of 5 stars","B+","7.8"
"6","Chicago Bears",CHI,"vs. MIN","2 out of 5 stars","B","7.3"
"7","Washington Football Team",WAS,"at DET","3 out of 5 stars","B","7.2"
"8","Philadelphia Eagles",PHI,"at NYG","3 out of 5 stars","B","7.2"
"9","Indianapolis Colts",IND,"at TEN","1 out of 5 stars","B-","7.1"
"10","Tennessee Titans",TEN,"vs. IND","3 out of 5 stars","B-","7.1"
"11","Minnesota Vikings",MIN,"at CHI","4 out of 5 stars","B-","6.9"
"12","Miami Dolphins",MIA,"vs. LAC","1 out of 5 stars","C+","6.8"
"13","Los Angeles Chargers",LAC,"at MIA","3 out of 5 stars","C-","6.7"
"14","Las Vegas Raiders",LV,"vs. DEN","4 out of 5 stars","C","6.7"
"15","New York Giants",NYG,"vs. PHI","5 out of 5 stars","C","6.7"
"16","New England Patriots",NE,"vs. BAL","4 out of 5 stars","D+","6.4"
"17","Denver Broncos",DEN,"at LV","2 out of 5 stars","D+","6.2"
"18","Seattle Seahawks",SEA,"at LAR","4 out of 5 stars","D+","6.1"
"19","Detroit Lions",DET,"vs. WAS","5 out of 5 stars","D","5.9"
"20","Arizona Cardinals",ARI,"vs. BUF","1 out of 5 stars","D","5.9"
"21","Cleveland Browns",CLE,"vs. HOU","2 out of 5 stars","D","5.9"
"22","Houston Texans",HOU,"at CLE","1 out of 5 stars","D-","5.8"
"23","Los Angeles Rams",LAR,"vs. SEA","3 out of 5 stars","D-","5.8"
"24","Buffalo Bills",BUF,"at ARI","3 out of 5 stars","F","5.7"
"25","San Francisco 49ers",SF,"at NO","1 out of 5 stars","F","5.3"
"26","Carolina Panthers",CAR,"vs. TB","4 out of 5 stars","F","4.7"
"27","Jacksonville Jaguars",JAC,"at GB","1 out of 5 stars","F","4.5"
"28","Cincinnati Bengals",CIN,"at PIT","1 out of 5 stars","F","4.2"
