"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Dalvin Cook",MIN,"at CHI","2 out of 5 stars","A+","19.0"
"2","Aaron Jones",GB,"vs. JAC","5 out of 5 stars","A+","18.9"
"3","Alvin Kamara",NO,"vs. SF","1 out of 5 stars","A+","18.8"
"4","James Robinson",JAC,"at GB","5 out of 5 stars","A","15.9"
"5","Derrick Henry",TEN,"vs. IND","1 out of 5 stars","A","15.0"
"6","Josh Jacobs",LV,"vs. DEN","1 out of 5 stars","A","15.0"
"7","Nick Chubb",CLE,"vs. HOU","5 out of 5 stars","A","15.0"
"8","James Conner",PIT,"vs. CIN","3 out of 5 stars","A","14.6"
"9","Miles Sanders",PHI,"at NYG","4 out of 5 stars","A","13.1"
"10","Chase Edmonds",ARI,"vs. BUF","5 out of 5 stars","A-","12.8"
"11","Mike Davis",CAR,"vs. TB","2 out of 5 stars","A-","12.5"
"12","Kareem Hunt",CLE,"vs. HOU","5 out of 5 stars","A-","11.8"
"13","Antonio Gibson",WAS,"at DET","5 out of 5 stars","B+","11.8"
"14","D'Andre Swift",DET,"vs. WAS","2 out of 5 stars","B+","11.4"
"15","Leonard Fournette",TB,"at CAR","4 out of 5 stars","B","11.2"
"16","David Montgomery",CHI,"vs. MIN","3 out of 5 stars","B","11.2"
"17","Melvin Gordon III",DEN,"at LV","4 out of 5 stars","B","10.7"
"18","Darrell Henderson",LAR,"vs. SEA","2 out of 5 stars","B","10.5"
"19","Jerick McKinnon",SF,"at NO","1 out of 5 stars","B","10.2"
"20","Zack Moss",BUF,"at ARI","2 out of 5 stars","B-","9.5"
"21","Jonathan Taylor",IND,"at TEN","5 out of 5 stars","B-","9.3"
"22","Duke Johnson Jr.",HOU,"at CLE","3 out of 5 stars","B-","9.0"
"23","J.K. Dobbins",BAL,"at NE","4 out of 5 stars","C+","8.9"
"24","Ronald Jones II",TB,"at CAR","4 out of 5 stars","C+","8.9"
"25","J.D. McKissic",WAS,"at DET","5 out of 5 stars","C+","8.6"
"26","Phillip Lindsay",DEN,"at LV","4 out of 5 stars","C+","8.5"
"27","Devin Singletary",BUF,"at ARI","2 out of 5 stars","C","8.4"
"28","Wayne Gallman",NYG,"vs. PHI","2 out of 5 stars","C","8.4"
"29","Chris Carson",SEA,"at LAR","2 out of 5 stars","B-","8.1"
"30","Giovani Bernard",CIN,"at PIT","2 out of 5 stars","C","8.1"
"31","Jordan Wilkins",IND,"at TEN","5 out of 5 stars","C","7.9"
"32","Gus Edwards",BAL,"at NE","4 out of 5 stars","C","7.8"
"33","Damien Harris",NE,"vs. BAL","2 out of 5 stars","C","7.8"
"34","Jamaal Williams",GB,"vs. JAC","5 out of 5 stars","C","7.7"
"35","Nyheim Hines",IND,"at TEN","5 out of 5 stars","C","7.7"
"36","James White",NE,"vs. BAL","2 out of 5 stars","C-","7.6"
"37","Joshua Kelley",LAC,"at MIA","4 out of 5 stars","C-","7.5"
"38","Kalen Ballage",LAC,"at MIA","4 out of 5 stars","C-","7.5"
"39","Malcolm Brown",LAR,"vs. SEA","2 out of 5 stars","D+","6.9"
"40","Latavius Murray",NO,"vs. SF","1 out of 5 stars","D+","6.8"
"41","Rex Burkhead",NE,"vs. BAL","2 out of 5 stars","D+","6.8"
"42","DeeJay Dallas",SEA,"at LAR","2 out of 5 stars","D","6.7"
"43","Adrian Peterson",DET,"vs. WAS","2 out of 5 stars","D","6.7"
"44","JaMycal Hasty",SF,"at NO","1 out of 5 stars","D","6.6"
"45","Jordan Howard",MIA,"vs. LAC","3 out of 5 stars","D","6.4"
"46","Salvon Ahmed",MIA,"vs. LAC","3 out of 5 stars","D","6.3"
"47","Alexander Mattison",MIN,"at CHI","2 out of 5 stars","F","6.2"
"48","Troymaine Pope",LAC,"at MIA","4 out of 5 stars","D-","6.1"
"49","Chris Thompson",JAC,"at GB","5 out of 5 stars","F","6.0"
"50","Joe Mixon",CIN,"at PIT","2 out of 5 stars","C-","5.6"
"51","Travis Homer",SEA,"at LAR","2 out of 5 stars","F","5.0"
"52","Boston Scott",PHI,"at NYG","4 out of 5 stars","F","5.0"
"53","Kerryon Johnson",DET,"vs. WAS","2 out of 5 stars","F","5.0"
"54","Devontae Booker",LV,"vs. DEN","1 out of 5 stars","F","4.9"
"55","David Johnson",HOU,"at CLE","3 out of 5 stars","C-","4.9"
"56","Cam Akers",LAR,"vs. SEA","2 out of 5 stars","F","4.6"
