"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Darren Waller",LV,"vs. DEN","3 out of 5 stars","A+","12.3"
"2","T.J. Hockenson",DET,"vs. WAS","4 out of 5 stars","A","9.2"
"3","Noah Fant",DEN,"at LV","3 out of 5 stars","A-","8.7"
"4","Dallas Goedert",PHI,"at NYG","2 out of 5 stars","B+","8.7"
"5","Evan Engram",NYG,"vs. PHI","5 out of 5 stars","B","8.6"
"6","Mark Andrews",BAL,"at NE","1 out of 5 stars","B","8.4"
"7","Rob Gronkowski",TB,"at CAR","2 out of 5 stars","B","8.1"
"8","Hunter Henry",LAC,"at MIA","3 out of 5 stars","B-","8.0"
"9","Eric Ebron",PIT,"vs. CIN","4 out of 5 stars","C+","7.8"
"10","Austin Hooper",CLE,"vs. HOU","4 out of 5 stars","C+","7.8"
"11","Jared Cook",NO,"vs. SF","1 out of 5 stars","C+","7.2"
"12","Jonnu Smith",TEN,"vs. IND","1 out of 5 stars","C","7.1"
"13","Robert Tonyan",GB,"vs. JAC","5 out of 5 stars","C","6.9"
"14","Mike Gesicki",MIA,"vs. LAC","4 out of 5 stars","C-","6.8"
"15","Jimmy Graham",CHI,"vs. MIN","4 out of 5 stars","C-","6.5"
"16","Trey Burton",IND,"at TEN","5 out of 5 stars","D+","6.3"
"17","Logan Thomas",WAS,"at DET","3 out of 5 stars","D+","6.3"
"18","Jordan Reed",SF,"at NO","3 out of 5 stars","D","6.1"
"19","Gerald Everett",LAR,"vs. SEA","2 out of 5 stars","D","6.1"
"20","Tyler Higbee",LAR,"vs. SEA","2 out of 5 stars","D-","5.4"
"21","Jordan Akins",HOU,"at CLE","3 out of 5 stars","D-","5.2"
"22","Irv Smith Jr.",MIN,"at CHI","4 out of 5 stars","F","5.2"
"23","Ross Dwelley",SF,"at NO","3 out of 5 stars","F","5.1"
"24","Darren Fells",HOU,"at CLE","3 out of 5 stars","F","5.0"
"25","Mo Alie-Cox",IND,"at TEN","5 out of 5 stars","F","4.9"
"26","Greg Olsen",SEA,"at LAR","4 out of 5 stars","F","4.8"
"27","Tyler Eifert",JAC,"at GB","1 out of 5 stars","F","4.6"
"28","Jacob Hollister",SEA,"at LAR","4 out of 5 stars","F","4.4"
"29","Harrison Bryant",CLE,"vs. HOU","4 out of 5 stars","F","4.4"
"30","Drew Sample",CIN,"at PIT","1 out of 5 stars","F","4.3"
"31","Ian Thomas",CAR,"vs. TB","3 out of 5 stars","F","4.2"
"32","Kyle Rudolph",MIN,"at CHI","4 out of 5 stars","F","3.9"
"33","Anthony Firkser",TEN,"vs. IND","1 out of 5 stars","F","3.7"
"34","David Njoku",CLE,"vs. HOU","4 out of 5 stars","F","3.6"
"35","James O'Shaughnessy",JAC,"at GB","1 out of 5 stars","F","3.1"
"36","Will Dissly",SEA,"at LAR","4 out of 5 stars","F","3.0"
"37","Nick Boyle",BAL,"at NE","1 out of 5 stars","F","2.9"
"38","Dawson Knox",BUF,"at ARI","4 out of 5 stars","F","2.8"
"39","Dan Arnold",ARI,"vs. BUF","5 out of 5 stars","F","2.8"
"40","Tyler Kroft",BUF,"at ARI","4 out of 5 stars","F","2.8"
"41","Richard Rodgers",PHI,"at NYG","2 out of 5 stars","F","2.7"
"42","Jace Sternberger",GB,"vs. JAC","5 out of 5 stars","F","2.7"
"43","Cole Kmet",CHI,"vs. MIN","4 out of 5 stars","F","2.7"
"44","Cameron Brate",TB,"at CAR","2 out of 5 stars","F","2.6"
"45","Jason Witten",LV,"vs. DEN","3 out of 5 stars","F","2.6"
"46","Jesse James",DET,"vs. WAS","4 out of 5 stars","F","2.5"
"47","Kaden Smith",NYG,"vs. PHI","5 out of 5 stars","F","2.5"
"48","Durham Smythe",MIA,"vs. LAC","4 out of 5 stars","F","2.4"
"49","Adam Shaheen",MIA,"vs. LAC","4 out of 5 stars","F","2.4"
"50","Adam Trautman",NO,"vs. SF","1 out of 5 stars","F","2.4"
"51","Darrell Daniels",ARI,"vs. BUF","5 out of 5 stars","F","2.3"
"52","Ryan Izzo",NE,"vs. BAL","3 out of 5 stars","F","2.2"
"53","Nick Vannett",DEN,"at LV","3 out of 5 stars","F","2.2"
"54","Foster Moreau",LV,"vs. DEN","3 out of 5 stars","F","2.1"
"55","Donald Parham Jr.",LAC,"at MIA","3 out of 5 stars","F","2.1"
"56","Marcedes Lewis",GB,"vs. JAC","5 out of 5 stars","F","1.9"
"57","Maxx Williams",ARI,"vs. BUF","5 out of 5 stars","F","1.9"
"58","Josh Hill",NO,"vs. SF","1 out of 5 stars","F","1.9"
"59","Chris Manhertz",CAR,"vs. TB","3 out of 5 stars","F","1.8"
"60","Demetrius Harris",CHI,"vs. MIN","4 out of 5 stars","F","1.7"
"61","Cethan Carter",CIN,"at PIT","1 out of 5 stars","F","1.7"
"62","Gabe Nabers",LAC,"at MIA","3 out of 5 stars","F","1.7"
"63","Zach Gentry",PIT,"vs. CIN","4 out of 5 stars","F","1.7"
"64","Jeremy Sprinkle",WAS,"at DET","3 out of 5 stars","F","1.7"
"65","Tyler Conklin",MIN,"at CHI","4 out of 5 stars","F","1.7"
"66","Johnny Mundt",LAR,"vs. SEA","2 out of 5 stars","F","1.7"
"67","Tanner Hudson",TB,"at CAR","2 out of 5 stars","F","1.7"
"68","Geoff Swaim",TEN,"vs. IND","1 out of 5 stars","F","1.7"
"69","Levine Toilolo",NYG,"vs. PHI","5 out of 5 stars","F","1.6"
"70","Vance McDonald",PIT,"vs. CIN","4 out of 5 stars","F","1.6"
