"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Davante Adams",GB,"vs. JAC","4 out of 5 stars","A+","19.3"
"2","DeAndre Hopkins",ARI,"vs. BUF","2 out of 5 stars","A+","15.4"
"3","Stefon Diggs",BUF,"at ARI","3 out of 5 stars","A+","15.1"
"4","D.K. Metcalf",SEA,"at LAR","1 out of 5 stars","A+","14.9"
"5","Keenan Allen",LAC,"at MIA","3 out of 5 stars","A+","14.9"
"6","Terry McLaurin",WAS,"at DET","3 out of 5 stars","A","14.2"
"7","Allen Robinson II",CHI,"vs. MIN","5 out of 5 stars","A","14.1"
"8","Tyler Lockett",SEA,"at LAR","1 out of 5 stars","A","13.8"
"9","Michael Thomas",NO,"vs. SF","3 out of 5 stars","A","13.6"
"10","A.J. Brown",TEN,"vs. IND","3 out of 5 stars","A","13.3"
"11","Will Fuller V",HOU,"at CLE","5 out of 5 stars","A","13.2"
"12","Robert Woods",LAR,"vs. SEA","5 out of 5 stars","A","12.9"
"13","Cooper Kupp",LAR,"vs. SEA","5 out of 5 stars","A","12.3"
"14","Robby Anderson",CAR,"vs. TB","3 out of 5 stars","A","12.1"
"15","Adam Thielen",MIN,"at CHI","1 out of 5 stars","A","12.0"
"16","Brandin Cooks",HOU,"at CLE","5 out of 5 stars","A-","11.4"
"17","D.J. Chark Jr.",JAC,"at GB","2 out of 5 stars","A-","11.3"
"18","Chase Claypool",PIT,"vs. CIN","5 out of 5 stars","A-","11.2"
"19","Justin Jefferson",MIN,"at CHI","1 out of 5 stars","B+","11.2"
"20","Tyler Boyd",CIN,"at PIT","5 out of 5 stars","A-","11.1"
"21","JuJu Smith-Schuster",PIT,"vs. CIN","5 out of 5 stars","B+","11.1"
"22","Chris Godwin",TB,"at CAR","1 out of 5 stars","B+","10.9"
"23","Diontae Johnson",PIT,"vs. CIN","5 out of 5 stars","B+","10.9"
"24","Mike Evans",TB,"at CAR","1 out of 5 stars","B","10.9"
"25","Travis Fulgham",PHI,"at NYG","4 out of 5 stars","B","10.9"
"26","DeVante Parker",MIA,"vs. LAC","2 out of 5 stars","B","10.8"
"27","Jerry Jeudy",DEN,"at LV","3 out of 5 stars","B","10.8"
"28","D.J. Moore",CAR,"vs. TB","3 out of 5 stars","B","10.5"
"29","Tee Higgins",CIN,"at PIT","5 out of 5 stars","B-","10.2"
"30","Christian Kirk",ARI,"vs. BUF","2 out of 5 stars","B-","10.2"
"31","Jarvis Landry",CLE,"vs. HOU","5 out of 5 stars","B-","10.1"
"32","Mike Williams",LAC,"at MIA","3 out of 5 stars","B-","10.1"
"33","Curtis Samuel",CAR,"vs. TB","3 out of 5 stars","C+","9.9"
"34","Brandon Aiyuk",SF,"at NO","4 out of 5 stars","C+","9.8"
"35","Sterling Shepard",NYG,"vs. PHI","3 out of 5 stars","C+","9.8"
"36","Marquise Brown",BAL,"at NE","3 out of 5 stars","C+","9.8"
"37","Marvin Jones Jr.",DET,"vs. WAS","1 out of 5 stars","C+","9.8"
"38","John Brown",BUF,"at ARI","3 out of 5 stars","C+","9.5"
"39","Antonio Brown",TB,"at CAR","1 out of 5 stars","C+","9.3"
"40","Jakobi Meyers",NE,"vs. BAL","2 out of 5 stars","C+","9.3"
"41","Darius Slayton",NYG,"vs. PHI","3 out of 5 stars","C+","9.2"
"42","Corey Davis",TEN,"vs. IND","3 out of 5 stars","C","9.1"
"43","Tim Patrick",DEN,"at LV","3 out of 5 stars","C","9.1"
"44","Cole Beasley",BUF,"at ARI","3 out of 5 stars","C","9.0"
"45","Darnell Mooney",CHI,"vs. MIN","5 out of 5 stars","C","8.5"
"46","Emmanuel Sanders",NO,"vs. SF","3 out of 5 stars","C","8.4"
"47","Jalen Reagor",PHI,"at NYG","4 out of 5 stars","C","8.3"
"48","Randall Cobb",HOU,"at CLE","5 out of 5 stars","C","8.3"
"49","A.J. Green",CIN,"at PIT","5 out of 5 stars","C","8.3"
"50","Nelson Agholor",LV,"vs. DEN","3 out of 5 stars","C-","8.3"
"51","Rashard Higgins",CLE,"vs. HOU","5 out of 5 stars","C-","8.2"
"52","Anthony Miller",CHI,"vs. MIN","5 out of 5 stars","C-","7.8"
"53","Henry Ruggs III",LV,"vs. DEN","3 out of 5 stars","C-","7.7"
"54","Danny Amendola",DET,"vs. WAS","1 out of 5 stars","C-","7.5"
"55","KJ Hamler",DEN,"at LV","3 out of 5 stars","C-","7.3"
"56","Keelan Cole Sr.",JAC,"at GB","2 out of 5 stars","D+","7.3"
"57","Michael Pittman Jr.",IND,"at TEN","5 out of 5 stars","C-","7.3"
"58","Josh Reynolds",LAR,"vs. SEA","5 out of 5 stars","D","7.3"
"59","Zach Pascal",IND,"at TEN","5 out of 5 stars","D","7.3"
"60","Richie James Jr.",SF,"at NO","4 out of 5 stars","D+","7.2"
"61","Marquez Valdes-Scantling",GB,"vs. JAC","4 out of 5 stars","D","7.1"
"62","Hunter Renfrow",LV,"vs. DEN","3 out of 5 stars","D","7.0"
"63","Jakeem Grant",MIA,"vs. LAC","2 out of 5 stars","D-","6.8"
"64","Larry Fitzgerald",ARI,"vs. BUF","2 out of 5 stars","D-","6.6"
"65","Damiere Byrd",NE,"vs. BAL","2 out of 5 stars","D-","6.5"
"66","T.Y. Hilton",IND,"at TEN","5 out of 5 stars","D","6.4"
"67","Tre'Quan Smith",NO,"vs. SF","3 out of 5 stars","F","6.2"
"68","Allen Lazard",GB,"vs. JAC","4 out of 5 stars","D","6.1"
"69","David Moore",SEA,"at LAR","1 out of 5 stars","F","6.0"
"70","Marcus Johnson",IND,"at TEN","5 out of 5 stars","F","5.9"
"71","Chris Conley",JAC,"at GB","2 out of 5 stars","F","5.8"
"72","Andy Isabella",ARI,"vs. BUF","2 out of 5 stars","F","5.7"
"73","Jalen Guyton",LAC,"at MIA","3 out of 5 stars","F","5.6"
"74","Marvin Hall",DET,"vs. WAS","1 out of 5 stars","F","5.6"
"75","Scotty Miller",TB,"at CAR","1 out of 5 stars","F","5.4"
"76","Gabriel Davis",BUF,"at ARI","3 out of 5 stars","F","5.4"
"77","Steven Sims",WAS,"at DET","3 out of 5 stars","F","5.2"
"78","James Washington",PIT,"vs. CIN","5 out of 5 stars","F","5.1"
"79","Cam Sims",WAS,"at DET","3 out of 5 stars","F","5.0"
"80","Laviska Shenault Jr.",JAC,"at GB","2 out of 5 stars","F","5.0"
"81","Willie Snead IV",BAL,"at NE","3 out of 5 stars","F","4.8"
"82","Greg Ward",PHI,"at NYG","4 out of 5 stars","F","4.7"
"83","Cordarrelle Patterson",CHI,"vs. MIN","5 out of 5 stars","F","4.6"
"84","Alshon Jeffery",PHI,"at NYG","4 out of 5 stars","F","4.6"
"85","Devin Duvernay",BAL,"at NE","3 out of 5 stars","F","4.5"
"86","Golden Tate",NYG,"vs. PHI","3 out of 5 stars","F","4.3"
"87","Austin Mack",NYG,"vs. PHI","3 out of 5 stars","F","4.2"
"88","Deebo Samuel",SF,"at NO","4 out of 5 stars","F","4.0"
"89","Trent Taylor",SF,"at NO","4 out of 5 stars","F","3.8"
"90","Miles Boykin",BAL,"at NE","3 out of 5 stars","F","3.7"
"91","Isaiah Wright",WAS,"at DET","3 out of 5 stars","F","3.7"
"92","Mack Hollins",MIA,"vs. LAC","2 out of 5 stars","F","3.7"
"93","Bryan Edwards",LV,"vs. DEN","3 out of 5 stars","F","3.6"
"94","Quintez Cephus",DET,"vs. WAS","1 out of 5 stars","F","3.5"
"95","KhaDarel Hodge",CLE,"vs. HOU","5 out of 5 stars","F","3.5"
"96","Kalif Raymond",TEN,"vs. IND","3 out of 5 stars","F","3.5"
"97","Kenny Stills",HOU,"at CLE","5 out of 5 stars","F","3.5"
"98","Marquez Callaway",NO,"vs. SF","3 out of 5 stars","F","3.5"
"99","DaeSean Hamilton",DEN,"at LV","3 out of 5 stars","F","3.4"
"100","Dez Bryant",BAL,"at NE","3 out of 5 stars","F","3.4"
"101","N'Keal Harry",NE,"vs. BAL","2 out of 5 stars","F","3.2"
"102","Chad Beebe",MIN,"at CHI","1 out of 5 stars","F","3.2"
"103","Deonte Harris",NO,"vs. SF","3 out of 5 stars","F","3.2"
"104","Isaiah Ford",NE,"vs. BAL","2 out of 5 stars","F","3.1"
"105","River Cracraft",SF,"at NO","4 out of 5 stars","F","3.1"
"106","Collin Johnson",JAC,"at GB","2 out of 5 stars","F","3.1"
"107","Ray-Ray McCloud",PIT,"vs. CIN","5 out of 5 stars","F","3.0"
"108","Isaiah Zuber",NE,"vs. BAL","2 out of 5 stars","F","2.8"
"109","Isaiah McKenzie",BUF,"at ARI","3 out of 5 stars","F","2.7"
"110","Equanimeous St. Brown",GB,"vs. JAC","4 out of 5 stars","F","2.6"
"111","Auden Tate",CIN,"at PIT","5 out of 5 stars","F","2.5"
"112","Donovan Peoples-Jones",CLE,"vs. HOU","5 out of 5 stars","F","2.5"
"113","Freddie Swain",SEA,"at LAR","1 out of 5 stars","F","2.5"
"114","Cam Batson",TEN,"vs. IND","3 out of 5 stars","F","2.1"
"115","Van Jefferson",LAR,"vs. SEA","5 out of 5 stars","F","2.0"
"116","Tyron Johnson",LAC,"at MIA","3 out of 5 stars","F","1.9"
"117","Kenny Golladay",DET,"vs. WAS","1 out of 5 stars","F","1.9"
"118","Antonio Callaway",MIA,"vs. LAC","2 out of 5 stars","F","1.7"
"119","Darrius Shepherd",GB,"vs. JAC","4 out of 5 stars","F","1.7"
"120","Riley Ridley",CHI,"vs. MIN","5 out of 5 stars","F","1.5"
"121","C.J. Board",NYG,"vs. PHI","3 out of 5 stars","F","1.4"
"122","Gunner Olszewski",NE,"vs. BAL","2 out of 5 stars","F","1.4"
