"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Patrick Mahomes II",KC,"vs. CAR","1 out of 5 stars","A+","24.1"
"2","Russell Wilson",SEA,"at BUF","4 out of 5 stars","A","23.6"
"3","Deshaun Watson",HOU,"at JAC","5 out of 5 stars","A","23.1"
"4","Kyler Murray",ARI,"vs. MIA","2 out of 5 stars","A","22.7"
"5","Josh Allen",BUF,"vs. SEA","5 out of 5 stars","A","22.0"
"6","Justin Herbert",LAC,"vs. LV","3 out of 5 stars","A-","21.3"
"7","Aaron Rodgers",GB,"at SF","3 out of 5 stars","B+","20.7"
"8","Tom Brady",TB,"vs. NO","5 out of 5 stars","B+","20.0"
"9","Lamar Jackson",BAL,"at IND","2 out of 5 stars","B","19.3"
"10","Matt Ryan",ATL,"vs. DEN","4 out of 5 stars","B","19.0"
"11","Ben Roethlisberger",PIT,"at DAL","3 out of 5 stars","B","18.7"
"12","Cam Newton",NE,"at NYJ","4 out of 5 stars","B-","18.4"
"13","Derek Carr",LV,"at LAC","5 out of 5 stars","C+","18.1"
"14","Ryan Tannehill",TEN,"vs. CHI","1 out of 5 stars","C+","17.9"
"15","Matthew Stafford",DET,"at MIN","4 out of 5 stars","C","17.5"
"16","Drew Brees",NO,"at TB","1 out of 5 stars","C","17.2"
"17","Drew Lock",DEN,"at ATL","5 out of 5 stars","C","16.7"
"18","Teddy Bridgewater",CAR,"at KC","2 out of 5 stars","C-","16.2"
"19","Kirk Cousins",MIN,"vs. DET","3 out of 5 stars","C-","15.8"
"20","Daniel Jones",NYG,"at WAS","3 out of 5 stars","D+","15.3"
"21","Nick Foles",CHI,"at TEN","5 out of 5 stars","D","14.9"
"22","Nick Mullens",SF,"vs. GB","2 out of 5 stars","D-","14.5"
"23","Tua Tagovailoa",MIA,"at ARI","4 out of 5 stars","F","14.1"
"24","Philip Rivers",IND,"vs. BAL","4 out of 5 stars","F","13.8"
"25","Jake Luton",JAC,"vs. HOU","4 out of 5 stars","F","13.2"
"26","Garrett Gilbert",DAL,"vs. PIT","1 out of 5 stars","F","12.2"
"27","Joe Flacco",NYJ,"vs. NE","1 out of 5 stars","F","11.3"
"28","Taysom Hill",NO,"at TB","1 out of 5 stars","F","10.0"
"29","Cooper Rush",DAL,"vs. PIT","1 out of 5 stars","F","8.7"
"30","Jarrett Stidham",NE,"at NYJ","4 out of 5 stars","F","7.6"
"31","Mike Glennon",JAC,"vs. HOU","4 out of 5 stars","F","6.6"
"32","C.J. Beathard",SF,"vs. GB","2 out of 5 stars","F","5.7"
"33","Chase Daniel",DET,"at MIN","4 out of 5 stars","F","4.8"
"34","Ben DiNucci",DAL,"vs. PIT","1 out of 5 stars","F","1.0"
"35","Brett Rypien",DEN,"at ATL","5 out of 5 stars","F","1.0"
