"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Dalvin Cook",MIN,"vs. DET","5 out of 5 stars","A+","17.6"
"2","Derrick Henry",TEN,"vs. CHI","2 out of 5 stars","A+","16.9"
"3","Alvin Kamara",NO,"at TB","2 out of 5 stars","A","16.8"
"4","James Conner",PIT,"at DAL","4 out of 5 stars","A","16.0"
"5","James Robinson",JAC,"vs. HOU","5 out of 5 stars","A","15.6"
"6","Chase Edmonds",ARI,"vs. MIA","5 out of 5 stars","A","14.8"
"7","Josh Jacobs",LV,"at LAC","3 out of 5 stars","A","14.5"
"8","Christian McCaffrey",CAR,"at KC","2 out of 5 stars","A","13.6"
"9","David Montgomery",CHI,"at TEN","5 out of 5 stars","A","13.0"
"10","David Johnson",HOU,"at JAC","5 out of 5 stars","A-","12.0"
"11","Todd Gurley II",ATL,"vs. DEN","1 out of 5 stars","A-","12.0"
"12","Clyde Edwards-Helaire",KC,"vs. CAR","5 out of 5 stars","A-","11.8"
"13","JaMycal Hasty",SF,"vs. GB","5 out of 5 stars","A-","11.6"
"14","Justin Jackson",LAC,"vs. LV","4 out of 5 stars","B+","11.5"
"15","Antonio Gibson",WAS,"vs. NYG","3 out of 5 stars","B","10.7"
"16","Aaron Jones",GB,"at SF","1 out of 5 stars","B+","10.4"
"17","J.K. Dobbins",BAL,"at IND","1 out of 5 stars","B","10.1"
"18","D'Andre Swift",DET,"at MIN","2 out of 5 stars","B","10.0"
"19","Leonard Fournette",TB,"vs. NO","1 out of 5 stars","B","10.0"
"20","DeeJay Dallas",SEA,"at BUF","5 out of 5 stars","B","9.9"
"21","Melvin Gordon III",DEN,"at ATL","2 out of 5 stars","B","9.7"
"22","Damien Harris",NE,"at NYJ","4 out of 5 stars","B","9.0"
"23","Zack Moss",BUF,"vs. SEA","2 out of 5 stars","B-","8.9"
"24","Jonathan Taylor",IND,"vs. BAL","1 out of 5 stars","B-","8.7"
"25","Ronald Jones II",TB,"vs. NO","1 out of 5 stars","C+","8.3"
"26","Jerick McKinnon",SF,"vs. GB","5 out of 5 stars","C+","8.3"
"27","Ezekiel Elliott",DAL,"vs. PIT","2 out of 5 stars","C+","7.8"
"28","Le'Veon Bell",KC,"vs. CAR","5 out of 5 stars","C","7.5"
"29","Gus Edwards",BAL,"at IND","1 out of 5 stars","C","7.4"
"30","Phillip Lindsay",DEN,"at ATL","2 out of 5 stars","C","7.3"
"31","Devin Singletary",BUF,"vs. SEA","2 out of 5 stars","C","7.1"
"32","Joshua Kelley",LAC,"vs. LV","4 out of 5 stars","C","7.0"
"33","Wayne Gallman",NYG,"at WAS","2 out of 5 stars","C","6.7"
"34","Jordan Howard",MIA,"at ARI","3 out of 5 stars","C","6.3"
"35","Lamical Perine",NYJ,"vs. NE","4 out of 5 stars","C-","6.3"
"36","Adrian Peterson",DET,"at MIN","2 out of 5 stars","C-","6.1"
"37","J.D. McKissic",WAS,"vs. NYG","3 out of 5 stars","C-","6.0"
"38","Tony Pollard",DAL,"vs. PIT","2 out of 5 stars","C-","5.9"
"39","James White",NE,"at NYJ","4 out of 5 stars","D+","5.8"
"40","Latavius Murray",NO,"at TB","2 out of 5 stars","D+","5.6"
"41","Jordan Wilkins",IND,"vs. BAL","1 out of 5 stars","D","5.4"
"42","Nyheim Hines",IND,"vs. BAL","1 out of 5 stars","D","5.3"
"43","Brian Hill",ATL,"vs. DEN","1 out of 5 stars","D","5.2"
"44","Mike Davis",CAR,"at KC","2 out of 5 stars","D","5.2"
"45","Dexter Williams",GB,"at SF","1 out of 5 stars","D","5.1"
"46","Frank Gore",NYJ,"vs. NE","4 out of 5 stars","D-","5.1"
"47","Tyler Ervin",GB,"at SF","1 out of 5 stars","D-","5.0"
"48","Rex Burkhead",NE,"at NYJ","4 out of 5 stars","F","4.9"
"49","Alexander Mattison",MIN,"vs. DET","5 out of 5 stars","F","4.4"
"50","Benny Snell Jr.",PIT,"at DAL","4 out of 5 stars","F","4.4"
"51","Patrick Laird",MIA,"at ARI","3 out of 5 stars","F","4.3"
"52","Travis Homer",SEA,"at BUF","5 out of 5 stars","F","4.3"
"53","Duke Johnson Jr.",HOU,"at JAC","5 out of 5 stars","F","4.1"
"54","Jeremy McNichols",TEN,"vs. CHI","2 out of 5 stars","F","4.1"
"55","Alfred Morris",NYG,"at WAS","2 out of 5 stars","F","3.6"
"56","Kerryon Johnson",DET,"at MIN","2 out of 5 stars","F","3.4"
"57","Devontae Booker",LV,"at LAC","3 out of 5 stars","F","3.3"
"58","Dion Lewis",NYG,"at WAS","2 out of 5 stars","F","3.2"
"59","Jalen Richard",LV,"at LAC","3 out of 5 stars","F","3.1"
"60","Chris Thompson",JAC,"vs. HOU","5 out of 5 stars","F","3.0"
"61","D'Onta Foreman",TEN,"vs. CHI","2 out of 5 stars","F","2.9"
"62","Anthony McFarland Jr.",PIT,"at DAL","4 out of 5 stars","F","2.9"
"63","Alex Collins",SEA,"at BUF","5 out of 5 stars","F","2.8"
"64","Salvon Ahmed",MIA,"at ARI","3 out of 5 stars","F","2.8"
"65","Peyton Barber",WAS,"vs. NYG","3 out of 5 stars","F","2.6"
"66","Darrel Williams",KC,"vs. CAR","5 out of 5 stars","F","2.6"
"67","Kyle Juszczyk",SF,"vs. GB","5 out of 5 stars","F","2.5"
"68","Royce Freeman",DEN,"at ATL","2 out of 5 stars","F","2.4"
"69","Ty Johnson",NYJ,"vs. NE","4 out of 5 stars","F","2.4"
"70","Jaylen Samuels",PIT,"at DAL","4 out of 5 stars","F","2.4"
"71","LeSean McCoy",TB,"vs. NO","1 out of 5 stars","F","2.3"
"72","Ryan Nall",CHI,"at TEN","5 out of 5 stars","F","2.1"
"73","Alec Ingold",LV,"at LAC","3 out of 5 stars","F","1.9"
"74","Qadree Ollison",ATL,"vs. DEN","1 out of 5 stars","F","1.9"
"75","D.J. Foster",ARI,"vs. MIA","5 out of 5 stars","F","1.7"
"76","Darwin Thompson",KC,"vs. CAR","5 out of 5 stars","F","1.7"
"77","Justice Hill",BAL,"at IND","1 out of 5 stars","F","1.5"
"78","Jakob Johnson",NE,"at NYJ","4 out of 5 stars","F","1.5"
"79","Sony Michel",NE,"at NYJ","4 out of 5 stars","F","1.5"
"80","Ke'Shawn Vaughn",TB,"vs. NO","1 out of 5 stars","F","1.4"
"81","C.J. Ham",MIN,"vs. DET","5 out of 5 stars","F","1.4"
"82","Alex Armah",CAR,"at KC","2 out of 5 stars","F","1.3"
"83","Elijhaa Penny",NYG,"at WAS","2 out of 5 stars","F","1.3"
"84","Kalen Ballage",LAC,"vs. LV","4 out of 5 stars","F","1.2"
"85","Reggie Gilliam",BUF,"vs. SEA","2 out of 5 stars","F","1.2"
"86","Michael Burton",NO,"at TB","2 out of 5 stars","F","1.0"
"87","Patrick Ricard",BAL,"at IND","1 out of 5 stars","F","1.0"
"88","Dare Ogunbowale",JAC,"vs. HOU","5 out of 5 stars","F","0.9"
"89","Keith Smith",ATL,"vs. DEN","1 out of 5 stars","F","0.9"
"90","Ameer Abdullah",MIN,"vs. DET","5 out of 5 stars","F","0.9"
"91","Trenton Cannon",CAR,"at KC","2 out of 5 stars","F","0.8"
"92","Jonathan Ward",ARI,"vs. MIA","5 out of 5 stars","F","0.7"
"93","Rico Dowdle",DAL,"vs. PIT","2 out of 5 stars","F","0.7"
"94","Ty Montgomery",NO,"at TB","2 out of 5 stars","F","0.6"
"95","Austin Walter",SF,"vs. GB","5 out of 5 stars","F","0.6"
"96","Josh Adams",NYJ,"vs. NE","4 out of 5 stars","F","0.5"
"97","Ito Smith",ATL,"vs. DEN","1 out of 5 stars","F","0.5"
"98","Senorise Perry",TEN,"vs. CHI","2 out of 5 stars","F","0.5"
"99","Khari Blasingame",TEN,"vs. CHI","2 out of 5 stars","F","0.4"
"100","Mike Boone",MIN,"vs. DET","5 out of 5 stars","F","0.4"
"101","Sewo Olonilua",DAL,"vs. PIT","2 out of 5 stars","F","0.4"
"102","Anthony Sherman",KC,"vs. CAR","5 out of 5 stars","F","0.2"
