"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Davante Adams",GB,"at SF","3 out of 5 stars","A+","14.8"
"2","Julio Jones",ATL,"vs. DEN","3 out of 5 stars","A+","13.3"
"3","DeAndre Hopkins",ARI,"vs. MIA","3 out of 5 stars","A+","13.2"
"4","Stefon Diggs",BUF,"vs. SEA","5 out of 5 stars","A+","12.8"
"5","Tyreek Hill",KC,"vs. CAR","1 out of 5 stars","A+","12.4"
"6","D.K. Metcalf",SEA,"at BUF","1 out of 5 stars","A+","12.2"
"7","Tyler Lockett",SEA,"at BUF","1 out of 5 stars","A+","12.2"
"8","A.J. Brown",TEN,"vs. CHI","1 out of 5 stars","A","12.1"
"9","Adam Thielen",MIN,"vs. DET","4 out of 5 stars","A","11.7"
"10","Terry McLaurin",WAS,"vs. NYG","4 out of 5 stars","A","11.7"
"11","Keenan Allen",LAC,"vs. LV","3 out of 5 stars","A","11.2"
"12","Will Fuller V",HOU,"at JAC","4 out of 5 stars","A","10.8"
"13","Robby Anderson",CAR,"at KC","1 out of 5 stars","A","10.5"
"14","Allen Robinson II",CHI,"at TEN","5 out of 5 stars","A","10.4"
"15","Mike Evans",TB,"vs. NO","4 out of 5 stars","A-","10.4"
"16","Justin Jefferson",MIN,"vs. DET","4 out of 5 stars","A-","10.1"
"17","Michael Thomas",NO,"at TB","3 out of 5 stars","A-","10.1"
"18","D.J. Moore",CAR,"at KC","1 out of 5 stars","A-","9.9"
"19","Brandin Cooks",HOU,"at JAC","4 out of 5 stars","A-","9.3"
"20","Chase Claypool",PIT,"at DAL","4 out of 5 stars","B+","9.3"
"21","Mike Williams",LAC,"vs. LV","3 out of 5 stars","B+","9.1"
"22","Marquise Brown",BAL,"at IND","4 out of 5 stars","B","8.9"
"23","Marvin Jones Jr.",DET,"at MIN","5 out of 5 stars","B","8.9"
"24","JuJu Smith-Schuster",PIT,"at DAL","4 out of 5 stars","B","8.8"
"25","Diontae Johnson",PIT,"at DAL","4 out of 5 stars","B","8.7"
