"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Kyler Murray","ARI","34.9","23.3","251.6","1.8","0.8","7.9","50.9","0.6","0.2","23.9"
"Josh Allen","BUF","37.2","23.8","277.5","1.9","0.8","6.9","35.9","0.4","0.3","22.4"
"Russell Wilson","SEA","35.4","24.2","281.7","2.3","0.6","4.3","23.4","0.1","0.2","22.0"
"Aaron Rodgers","GB","38.1","25.2","292.7","2.4","0.3","2.2","10.9","0.1","0.2","21.8"
"Justin Herbert","LAC","37.3","25.0","294.1","2.1","0.8","4.2","22.7","0.2","0.2","21.2"
"Deshaun Watson","HOU","34.3","22.7","274.6","1.9","0.6","5.2","29.7","0.2","0.2","21.1"
"Lamar Jackson","BAL","27.3","17.3","210.3","1.4","0.7","9.4","57.5","0.4","0.3","20.4"
"Tom Brady","TB","37.8","24.8","284.6","2.1","0.5","1.3","2.9","0.1","0.1","19.2"
"Jared Goff","LAR","37.5","24.5","296.1","1.9","0.7","2.1","5.5","0.1","0.2","18.9"
"Drew Brees","NO","36.0","25.8","282.7","2.0","0.5","1.2","2.6","0.1","0.1","18.9"
"Ben Roethlisberger","PIT","36.2","23.8","274.2","2.0","0.6","1.6","5.2","0.1","0.1","18.5"
"Carson Wentz","PHI","36.5","23.7","265.3","1.8","1.1","4.5","19.0","0.2","0.3","18.0"
"Derek Carr","LV","33.7","23.2","254.2","1.9","0.5","3.4","10.0","0.1","0.3","17.7"
"Ryan Tannehill","TEN","29.8","20.1","246.5","1.9","0.7","3.1","13.5","0.1","0.3","17.4"
"Gardner Minshew II","JAC","38.0","24.0","296.0","1.4","0.6","2.6","15.0","0.0","0.2","17.3"
"Matthew Stafford","DET","37.0","24.3","278.3","1.7","0.8","2.1","7.9","0.0","0.2","17.2"
"Teddy Bridgewater","CAR","36.6","24.9","269.1","1.5","0.8","4.0","14.5","0.1","0.1","17.1"
"Baker Mayfield","CLE","32.6","20.0","243.2","1.9","0.9","2.5","10.2","0.1","0.1","16.9"
"Joe Burrow","CIN","37.3","23.6","260.9","1.5","0.9","3.6","16.2","0.1","0.3","16.7"
"Tua Tagovailoa","MIA","34.4","22.0","241.0","1.8","0.8","3.2","13.7","0.1","0.2","16.7"
"Drew Lock","DEN","36.2","21.7","251.1","1.7","1.0","3.3","11.4","0.1","0.2","16.5"
"Cam Newton","NE","30.2","19.0","204.4","0.8","0.9","8.4","38.6","0.5","0.1","16.1"
"Philip Rivers","IND","35.8","23.7","271.6","1.7","1.0","1.0","1.9","0.0","0.1","15.9"
"Nick Foles","CHI","37.8","24.7","265.0","1.6","0.9","2.0","3.9","0.1","0.1","15.8"
"Daniel Jones","NYG","34.3","22.0","227.0","1.4","1.0","4.6","27.7","0.1","0.4","15.3"
"Alex Smith","WAS","33.1","21.7","247.0","1.3","0.7","2.7","12.2","0.1","0.1","15.2"
"Kirk Cousins","MIN","29.8","19.6","233.7","1.6","0.8","1.7","5.9","0.0","0.2","14.8"
"Jake Luton","JAC","37.5","23.3","256.0","1.3","1.0","2.0","7.1","0.1","0.2","14.3"
"Nick Mullens","SF","33.4","21.9","262.2","1.4","1.1","1.0","2.8","0.0","0.2","13.9"
"Jarrett Stidham","NE","23.4","12.2","111.7","0.8","0.8","2.0","6.4","0.0","0.1","6.8"
"Ryan Fitzpatrick","MIA","20.7","13.0","105.5","0.5","0.4","2.1","8.0","0.0","0.0","6.4"
"C.J. Beathard","SF","18.1","10.7","89.9","0.3","0.4","2.1","8.2","0.1","0.2","5.2"
"Brett Rypien","DEN","20.7","13.9","110.7","0.7","1.4","1.2","4.4","0.0","0.1","4.5"
"Chase Daniel","DET","16.8","10.3","82.7","0.4","0.3","1.4","2.6","0.0","0.1","4.3"
"Jalen Hurts","PHI","10.1","6.4","55.9","0.2","0.2","1.9","6.4","0.1","0.1","3.5"
"Mike Glennon","JAC","14.7","8.8","65.3","0.2","0.3","1.3","2.3","0.0","0.1","3.0"
"Taysom Hill","NO","0.9","0.7","12.5","0.0","0.0","1.0","7.5","0.0","0.0","1.4"
"Mason Rudolph","PIT","3.6","2.5","19.8","0.1","0.1","0.2","0.1","0.0","0.0","1.1"
"Dwayne Haskins","WAS","1.3","0.8","17.1","0.1","0.1","0.2","0.3","0.0","0.0","0.9"
"Marcus Mariota","LV","1.3","0.9","9.9","0.1","0.0","0.3","1.2","0.0","0.0","0.9"
"Jameis Winston","NO","1.5","1.0","9.7","0.1","0.0","0.3","1.2","0.0","0.0","0.9"
"David Blough","DET","1.4","0.9","10.0","0.1","0.0","0.2","1.0","0.0","0.0","0.9"
"Ryan Finley","CIN","1.5","0.9","10.1","0.1","0.0","0.2","0.8","0.0","0.0","0.9"
"Colt McCoy","NYG","1.4","0.9","9.0","0.1","0.0","0.2","0.7","0.0","0.0","0.8"
"Case Keenum","CLE","1.3","0.8","12.8","0.1","0.0","0.1","0.4","0.0","0.0","0.8"
"Tyrod Taylor","LAC","1.5","1.0","12.0","0.1","0.0","0.3","0.8","0.0","0.0","0.8"
"Nate Sudfeld","PHI","1.1","0.7","8.3","0.1","0.0","0.2","0.2","0.0","0.0","0.8"
"Mitchell Trubisky","CHI","1.5","1.0","12.9","0.1","0.1","0.2","0.5","0.0","0.0","0.7"
"Logan Woodside","TEN","0.8","0.6","10.4","0.1","0.0","0.1","0.1","0.0","0.0","0.7"
"Josh McCown","HOU","0.0","0.0","14.8","0.0","0.1","0.0","0.1","0.0","0.0","0.7"
"Blaine Gabbert","TB","1.6","0.9","10.4","0.1","0.0","0.2","0.2","0.0","0.0","0.6"
"John Wolford","LAR","1.1","0.8","8.8","0.1","0.0","0.1","0.2","0.0","0.0","0.6"
"Matt Barkley","BUF","1.1","0.7","9.9","0.1","0.0","0.2","0.1","0.0","0.0","0.6"
"Tim Boyle","GB","0.8","0.5","7.9","0.1","0.0","0.2","0.1","0.0","0.0","0.6"
"Jacoby Brissett","IND","0.7","0.5","11.0","0.0","0.0","0.1","0.3","0.0","0.0","0.5"
"Jeff Driskel","DEN","0.0","0.0","0.0","0.0","0.0","1.1","5.0","0.0","0.0","0.5"
"Brett Hundley","ARI","1.4","0.9","9.1","0.0","0.0","0.3","1.3","0.0","0.0","0.5"
"AJ McCarron","HOU","1.3","0.9","11.1","0.0","0.0","0.1","0.3","0.0","0.0","0.5"
"Will Grier","CAR","0.0","0.0","9.9","0.1","0.1","0.0","0.0","0.0","0.0","0.4"
"Sean Mannion","MIN","1.1","0.6","8.1","0.0","0.0","0.3","0.2","0.0","0.0","0.4"
"Phillip Walker","CAR","1.4","0.8","7.5","0.0","0.0","0.1","0.2","0.0","0.0","0.3"
"Robert Griffin III","BAL","0.6","0.4","4.2","0.0","0.0","0.3","1.4","0.0","0.0","0.3"
"Geno Smith","SEA","1.1","0.6","6.2","0.0","0.0","0.2","0.2","0.0","0.0","0.3"
"Jake Fromm","BUF","0.3","0.2","2.0","0.0","0.0","0.0","0.1","0.0","0.0","0.1"
""
""
