"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Dalvin Cook","MIN","19.6","94.3","0.8","3.2","28.8","0.1","0.2","19.1"
"Alvin Kamara","NO","13.0","60.5","0.6","6.0","49.1","0.2","0.1","18.7"
"Aaron Jones","GB","15.3","74.9","0.9","3.5","29.1","0.2","0.1","18.6"
"James Robinson","JAC","17.0","74.6","0.7","2.9","23.9","0.1","0.1","15.8"
"Derrick Henry","TEN","20.2","88.6","0.8","1.4","11.3","0.0","0.1","15.6"
"James Conner","PIT","16.2","70.7","0.7","2.5","18.9","0.1","0.1","14.8"
"Josh Jacobs","LV","18.5","76.5","0.7","2.2","15.4","0.0","0.1","14.7"
"Miles Sanders","PHI","14.0","66.5","0.5","3.1","27.2","0.1","0.1","14.2"
"Nick Chubb","CLE","16.1","83.2","0.6","1.7","11.6","0.0","0.1","14.2"
"Mike Davis","CAR","14.1","54.0","0.5","4.1","28.2","0.1","0.1","13.9"
"D'Andre Swift","DET","11.6","49.4","0.5","3.1","26.4","0.1","0.1","12.9"
"Chase Edmonds","ARI","11.2","47.8","0.5","3.3","26.6","0.2","0.1","12.7"
"Antonio Gibson","WAS","13.5","52.4","0.5","2.7","21.5","0.1","0.1","12.1"
"Duke Johnson Jr.","HOU","11.1","46.6","0.4","3.4","30.1","0.1","0.2","12.1"
"Jerick McKinnon","SF","10.9","46.3","0.3","3.1","24.7","0.1","0.1","11.0"
"Kareem Hunt","CLE","10.1","47.9","0.3","2.8","22.2","0.2","0.0","11.0"
"Leonard Fournette","TB","12.5","47.9","0.3","3.3","24.0","0.1","0.0","10.8"
"Darrell Henderson","LAR","11.1","53.8","0.3","2.1","18.6","0.1","0.0","10.7"
"Melvin Gordon III","DEN","12.6","50.8","0.4","2.5","19.3","0.1","0.1","10.7"
"Ronald Jones II","TB","11.9","51.2","0.4","2.2","15.2","0.0","0.1","10.0"
"David Montgomery","CHI","13.3","52.8","0.2","2.3","17.0","0.1","0.1","9.8"
"Jonathan Taylor","IND","10.8","47.5","0.3","2.1","17.3","0.1","0.1","9.6"
"Giovani Bernard","CIN","11.4","36.7","0.2","3.2","25.3","0.1","0.1","9.6"
"Chris Carson","SEA","9.2","42.8","0.3","2.4","16.9","0.1","0.1","9.2"
"Zack Moss","BUF","10.6","43.8","0.4","1.6","12.2","0.1","0.1","9.2"
"Joe Mixon","CIN","11.1","47.9","0.1","2.4","16.9","0.1","0.1","8.7"
"J.D. McKissic","WAS","4.9","22.9","0.1","4.1","33.6","0.1","0.1","8.7"
"J.K. Dobbins","BAL","10.4","43.6","0.2","2.3","16.8","0.1","0.1","8.5"
"Kenyan Drake","ARI","9.0","46.0","0.4","1.2","7.3","0.0","0.1","8.3"
"Wayne Gallman","NYG","9.4","41.5","0.2","2.2","14.4","0.0","0.1","8.2"
"Devin Singletary","BUF","8.7","39.0","0.1","2.2","17.0","0.1","0.1","7.7"
"Jamaal Williams","GB","8.7","33.4","0.2","2.4","17.9","0.1","0.0","7.7"
"Nyheim Hines","IND","4.4","17.7","0.1","3.4","27.9","0.1","0.0","7.4"
"Damien Harris","NE","10.4","44.4","0.3","0.8","5.8","0.0","0.1","7.3"
"Joshua Kelley","LAC","8.7","39.0","0.1","2.1","14.2","0.1","0.1","7.3"
"Latavius Murray","NO","9.6","39.1","0.2","1.6","10.8","0.0","0.0","7.2"
"Phillip Lindsay","DEN","10.1","43.3","0.2","1.4","8.9","0.0","0.0","7.1"
"Gus Edwards","BAL","10.1","44.9","0.4","0.5","2.4","0.0","0.1","7.0"
"Matt Breida","MIA","7.5","35.4","0.2","1.6","12.4","0.1","0.1","7.0"
"Malcolm Brown","LAR","8.4","33.9","0.3","1.6","10.8","0.0","0.0","6.9"
"Kalen Ballage","LAC","8.2","32.3","0.3","1.4","10.5","0.0","0.1","6.8"
"JaMycal Hasty","SF","9.2","33.3","0.2","2.2","12.0","0.0","0.1","6.8"
"James White","NE","3.1","10.5","0.0","3.9","30.5","0.1","0.0","6.7"
"Rex Burkhead","NE","7.6","28.4","0.1","2.1","17.7","0.0","0.0","6.6"
"Jordan Wilkins","IND","9.3","42.5","0.2","0.9","5.7","0.0","0.0","6.6"
"Adrian Peterson","DET","11.1","39.4","0.2","1.1","6.8","0.0","0.1","6.1"
