"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Pittsburgh Steelers","","3.5","1.0","0.7","1.0","0.2","0.0","17.1","310.0","8.8"
"Minnesota Vikings","","2.6","0.9","0.6","0.9","0.2","0.0","20.0","355.3","7.6"
"Los Angeles Chargers","","2.7","1.0","0.5","0.6","0.2","0.0","17.4","304.2","7.6"
"Cleveland Browns","","3.0","1.0","0.7","1.1","0.2","0.0","21.6","343.0","7.4"
"Washington Football Team","","3.3","0.9","0.7","1.2","0.1","0.0","22.3","346.7","7.4"
"Miami Dolphins","","2.3","1.2","0.6","1.0","0.2","0.0","20.9","343.1","7.2"
"New England Patriots","","2.7","0.9","0.5","0.8","0.1","0.0","21.4","370.3","6.5"
"Tampa Bay Buccaneers","","2.3","0.9","0.7","1.1","0.2","0.0","22.4","351.0","6.4"
"Arizona Cardinals","","2.9","0.8","0.5","0.8","0.1","0.1","27.2","380.9","6.4"
"New Orleans Saints","","2.7","0.8","0.6","0.8","0.2","0.0","22.2","365.9","6.3"
"Cincinnati Bengals","","2.7","0.8","0.5","0.6","0.2","0.1","23.0","343.9","6.2"
"Los Angeles Rams","","2.5","0.8","0.6","0.9","0.1","0.1","24.1","346.1","6.1"
"Philadelphia Eagles","","2.3","0.9","0.6","0.9","0.2","0.0","24.0","333.2","6.1"
"Detroit Lions","","2.3","0.8","0.5","0.8","0.2","0.0","23.9","352.3","6.1"
"Carolina Panthers","","2.4","0.8","0.6","0.9","0.1","0.0","24.2","363.2","6.0"
"Seattle Seahawks","","2.2","0.9","0.6","1.0","0.1","0.0","24.3","397.2","6.0"
"Baltimore Ravens","","2.3","0.7","0.6","1.0","0.1","0.0","20.2","346.4","6.0"
"Denver Broncos","","2.6","0.7","0.5","0.7","0.1","0.0","23.7","328.1","5.9"
"Tennessee Titans","","2.4","0.7","0.6","0.7","0.1","0.0","25.1","361.6","5.9"
"Kansas City Chiefs","","2.2","0.7","0.6","1.0","0.2","0.0","23.2","352.2","5.9"
"Green Bay Packers","","2.1","0.9","0.5","0.7","0.1","0.0","24.3","368.3","5.8"
"Houston Texans","","2.1","0.8","0.5","0.8","0.1","0.0","23.0","360.8","5.7"
"Atlanta Falcons","","2.0","0.9","0.5","0.8","0.1","0.0","25.3","328.3","5.7"
"Indianapolis Colts","","2.2","0.7","0.5","0.8","0.2","0.0","22.8","350.4","5.5"
"New York Jets","","2.2","0.7","0.5","0.8","0.1","0.0","26.7","382.8","5.5"
"Dallas Cowboys","","2.2","0.7","0.5","0.8","0.1","0.0","25.8","359.2","5.4"
"Jacksonville Jaguars","","1.7","0.7","0.5","0.7","0.1","0.0","27.3","376.3","5.0"
"Las Vegas Raiders","","1.8","0.6","0.5","0.8","0.1","0.0","28.1","403.0","4.7"
""
""
