"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Davante Adams","GB","7.7","93.6","0.8","0.0","0.0","0.0","0.1","17.9"
"DeAndre Hopkins","ARI","7.5","97.5","0.6","0.0","0.2","0.0","0.1","17.3"
"Tyreek Hill","KC","5.5","85.2","0.7","1.0","6.3","0.1","0.0","16.6"
"Keenan Allen","LAC","7.3","85.6","0.6","0.1","0.8","0.0","0.0","16.1"
"Tyler Lockett","SEA","6.2","82.0","0.7","0.3","1.4","0.0","0.0","15.6"
"Julio Jones","ATL","6.4","91.1","0.5","0.1","0.2","0.0","0.0","15.5"
"D.K. Metcalf","SEA","5.2","85.2","0.7","0.0","0.2","0.0","0.1","15.3"
"Terry McLaurin","WAS","5.9","84.3","0.6","0.2","1.5","0.0","0.0","14.9"
"Adam Thielen","MIN","5.1","68.1","0.7","0.3","1.4","0.0","0.1","13.6"
"Calvin Ridley","ATL","5.3","73.0","0.6","0.2","1.4","0.0","0.0","13.5"
"Tyler Boyd","CIN","6.1","70.9","0.5","0.5","3.0","0.0","0.1","13.4"
"Will Fuller V","HOU","4.9","73.8","0.6","0.1","0.4","0.0","0.0","13.3"
"Justin Jefferson","MIN","4.7","74.9","0.6","0.0","0.1","0.0","0.0","13.2"
"Tee Higgins","CIN","4.9","70.0","0.5","0.5","3.5","0.0","0.0","13.1"
"Robby Anderson","CAR","5.7","75.0","0.5","0.1","0.4","0.0","0.1","13.1"
"Chase Claypool","PIT","4.6","62.2","0.6","1.0","6.4","0.1","0.0","13.1"
"Cooper Kupp","LAR","6.0","69.9","0.5","0.2","1.3","0.0","0.0","13.0"
"A.J. Brown","TEN","4.5","71.3","0.5","0.1","1.4","0.0","0.0","12.9"
"Marvin Jones Jr.","DET","5.0","66.0","0.6","0.0","0.0","0.0","0.0","12.8"
"Diontae Johnson","PIT","5.4","65.6","0.6","0.3","2.3","0.0","0.1","12.7"
"Jamison Crowder","NYJ","5.6","64.2","0.5","0.1","0.6","0.0","0.1","12.1"
"Michael Thomas","NO","5.3","65.3","0.5","0.0","0.0","0.0","0.0","12.1"
"Brandin Cooks","HOU","5.0","67.7","0.4","0.3","1.4","0.0","0.0","12.0"
"Jakobi Meyers","NE","5.3","70.2","0.4","0.1","0.5","0.0","0.0","12.0"
"JuJu Smith-Schuster","PIT","5.6","66.4","0.4","0.0","0.2","0.0","0.0","11.9"
"Amari Cooper","DAL","5.4","66.2","0.4","0.2","1.0","0.0","0.0","11.9"
"D.J. Moore","CAR","4.8","74.4","0.3","0.2","2.3","0.0","0.1","11.7"
"Chris Godwin","TB","5.0","64.9","0.5","0.0","0.1","0.0","0.0","11.7"
"DeVante Parker","MIA","4.6","64.1","0.5","0.0","0.0","0.0","0.0","11.6"
"Robert Woods","LAR","5.4","64.3","0.2","1.3","7.4","0.1","0.1","11.6"
"Jerry Jeudy","DEN","4.7","64.6","0.4","0.1","0.7","0.0","0.0","11.5"
"Christian Kirk","ARI","4.5","59.5","0.5","0.3","2.3","0.0","0.0","11.5"
"Mike Evans","TB","4.5","61.1","0.5","0.0","0.0","0.0","0.0","11.4"
"D.J. Chark Jr.","JAC","4.8","63.3","0.4","0.1","0.5","0.0","0.0","11.4"
"Mike Williams","LAC","3.8","61.5","0.5","0.2","0.8","0.0","0.0","11.4"
"Jarvis Landry","CLE","4.8","59.6","0.4","0.2","1.4","0.0","0.0","11.1"
"Travis Fulgham","PHI","4.6","59.5","0.4","0.1","0.4","0.0","0.0","10.9"
"Curtis Samuel","CAR","4.3","46.4","0.2","2.3","15.1","0.2","0.0","10.4"
"Michael Pittman Jr.","IND","4.4","54.4","0.4","0.2","1.5","0.0","0.0","9.9"
"Antonio Brown","TB","4.5","55.2","0.3","0.3","1.0","0.0","0.0","9.7"
"Marquise Brown","BAL","4.1","53.7","0.3","0.3","1.9","0.0","0.0","9.3"
"CeeDee Lamb","DAL","4.4","55.7","0.2","0.4","2.2","0.0","0.0","9.2"
"Corey Davis","TEN","4.2","55.4","0.2","0.1","0.5","0.0","0.0","9.0"
"Jalen Reagor","PHI","3.7","48.9","0.4","0.1","0.9","0.0","0.0","8.9"
