"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.5","84.1","0.7","0.0","15.6"
"Darren Waller","LV","6.4","70.2","0.6","0.1","13.5"
"Mark Andrews","BAL","4.5","54.0","0.5","0.0","10.6"
"T.J. Hockenson","DET","4.4","50.5","0.6","0.0","10.6"
"Dallas Goedert","PHI","4.3","48.3","0.4","0.0","9.6"
"Hunter Henry","LAC","4.1","46.5","0.5","0.0","9.5"
"Evan Engram","NYG","4.4","47.7","0.2","0.0","8.1"
"Hayden Hurst","ATL","3.9","44.0","0.2","0.0","7.6"
"Austin Hooper","CLE","4.0","43.0","0.2","0.0","7.5"
"Eric Ebron","PIT","3.9","41.7","0.2","0.0","7.4"
"Noah Fant","DEN","3.9","45.1","0.2","0.0","7.3"
"Mike Gesicki","MIA","3.6","42.6","0.2","0.0","7.3"
"Jonnu Smith","TEN","3.4","38.5","0.3","0.0","7.0"
"Rob Gronkowski","TB","3.1","40.2","0.2","0.0","6.9"
"Jordan Reed","SF","3.9","39.7","0.2","0.0","6.9"
"Dalton Schultz","DAL","3.6","37.4","0.2","0.1","6.6"
"Robert Tonyan","GB","3.2","36.6","0.2","0.0","6.5"
"Kyle Rudolph","MIN","3.3","35.6","0.2","0.0","6.5"
"Jordan Akins","HOU","3.0","35.8","0.2","0.0","6.1"
"Logan Thomas","WAS","3.3","34.5","0.2","0.0","6.1"
"Jimmy Graham","CHI","3.2","34.2","0.2","0.0","6.0"
"Tyler Higbee","LAR","2.9","32.8","0.2","0.0","5.7"
"Trey Burton","IND","3.0","29.7","0.2","0.0","5.4"
"Tyler Eifert","JAC","2.8","29.5","0.2","0.0","5.2"
"Jared Cook","NO","2.5","31.1","0.1","0.0","5.2"
"Zach Ertz","PHI","2.8","27.9","0.1","0.0","4.8"
"Anthony Firkser","TEN","2.4","26.2","0.1","0.0","4.5"
"Gerald Everett","LAR","2.5","27.3","0.1","0.0","4.5"
"Will Dissly","SEA","2.0","23.8","0.1","0.0","4.1"
"Richard Rodgers","PHI","2.0","24.9","0.1","0.0","4.1"
"Darren Fells","HOU","1.9","21.7","0.2","0.0","4.0"
"Mo Alie-Cox","IND","1.8","23.3","0.1","0.0","3.9"
